date,forex_reserves_usd_mn
2001-03-01,42281.0
2001-04-01,42526.0
2001-05-01,42991.0
2001-06-01,43454.0
2001-07-01,43730.0
2001-08-01,45358.0
2001-09-01,44877.0
2001-10-01,45256.0
2001-11-01,46891.0
2001-12-01,48112.0
2002-03-01,54106.0
2002-04-01,55870.0
2002-05-01,56779.0
2002-06-01,58693.0
2002-07-01,60607.0
2002-08-01,62140.0
2002-09-01,63620.0
2002-10-01,65159.0
2002-11-01,67578.0
2002-12-01,71110.0
2003-03-01,76100.0
2003-04-01,78325.0
2003-05-01,82308.0
2003-06-01,83221.0
2003-07-01,85551.0
2003-08-01,87306.0
2003-09-01,92339.0
2003-10-01,93803.0
2003-11-01,97400.0
2003-12-01,103151.0
2004-03-01,112959.0
2004-04-01,118490.0
2004-05-01,119379.0
2004-06-01,119511.0
2004-07-01,118385.0
2004-08-01,118154.0
2004-09-01,119579.0
2004-10-01,121337.0
2004-11-01,128226.0
2004-12-01,131178.0
2005-03-01,141514.0
2005-04-01,141841.0
2005-05-01,138857.0
2005-06-01,138370.0
2005-07-01,140542.0
2005-08-01,144079.0
2005-09-01,143059.0
2005-10-01,143573.0
2005-11-01,142821.0
2005-12-01,137206.0
2006-03-01,151622.0
2006-04-01,160677.0
2006-05-01,163868.0
2006-06-01,162912.0
2006-07-01,164577.0
2006-08-01,166244.0
2006-09-01,165305.0
2006-10-01,167392.0
2006-11-01,174641.0
2006-12-01,177251.0
2007-03-01,199179.0
2007-04-01,204409.0
2007-05-01,208068.0
2007-06-01,213362.0
2007-07-01,227107.0
2007-08-01,228847.0
2007-09-01,247762.0
2007-10-01,264692.0
2007-11-01,273520.0
2007-12-01,275316.0
2008-03-01,309723.0
2008-04-01,314155.0
2008-05-01,314614.0
2008-06-01,312087.0
2008-07-01,306176.0
2008-08-01,295309.0
2008-09-01,286336.0
2008-10-01,252883.0
2008-11-01,247686.0
2008-12-01,255968.0
2009-03-01,251985.0
2009-04-01,251702.0
2009-05-01,262306.0
2009-06-01,265142.0
2009-07-01,271641.0
2009-08-01,277252.0
2009-09-01,281278.0
2009-10-01,284391.0
2009-11-01,288146.0
2009-12-01,283470.0
2010-03-01,279057.0
2010-04-01,279633.0
2010-05-01,273544.0
2010-06-01,275710.0
2010-07-01,284183.0
2010-08-01,283142.0
2010-09-01,292870.0
2010-10-01,297956.0
2010-11-01,292389.0
2010-12-01,297334.0
2011-03-01,304818.0
2011-04-01,313511.0
2011-05-01,311516.0
2011-06-01,315715.0
2011-07-01,319090.0
2011-08-01,321982.0
2011-09-01,311482.0
2011-10-01,316210.0
2011-11-01,307884.0
2011-12-01,296688.0
2012-03-01,294398.0
2012-04-01,294846.0
2012-05-01,286019.0
2012-06-01,289736.0
2012-07-01,288775.0
2012-08-01,290462.0
2012-09-01,294812.0
2012-10-01,295254.0
2012-11-01,294510.0
2012-12-01,295638.0
2013-03-01,292045.6
2013-04-01,293892.1
2013-05-01,287897.3
2013-06-01,282452.8
2013-07-01,277571.6
2013-08-01,275491.6
2013-09-01,277233.7
2013-10-01,281542.9
2013-11-01,290676.7
2013-12-01,293876.8
2014-03-01,304223.2
2014-04-01,310986.3
2014-05-01,312207.0
2014-06-01,316138.0
2014-07-01,319808.0
2014-08-01,318399.7
2014-09-01,313841.2
2014-10-01,315910.1
2014-11-01,315558.4
2014-12-01,320648.8
2015-02-01,337733.2
2015-03-01,341638.4
2015-04-01,351868.8
2015-05-01,352478.9
2015-06-01,356001.0
2015-07-01,353460.5
2015-08-01,351437.6
2015-09-01,350288.6
2015-11-01,350247.2
2015-12-01,350381.4
2016-02-01,348418.1
2016-03-01,360176.2
2016-04-01,363049.0
2016-05-01,361605.0
2016-06-01,363506.1
2016-07-01,366503.9
2016-09-01,371990.3
2016-10-01,366211.6
2016-11-01,361121.0
2016-12-01,358898.0
2017-03-01,369954.7
2017-04-01,373301.9
2017-05-01,380100.4
2017-06-01,386539.4
2017-07-01,393655.2
2017-08-01,397822.1
2017-09-01,400205.3
2017-10-01,399224.8
2017-11-01,401942.0
2017-12-01,409072.2
2018-03-01,424544.8
2018-04-01,420517.0
2018-05-01,412373.0
2018-06-01,405740.3
2018-07-01,403674.8
2018-08-01,400101.9
2018-09-01,400525.1
2018-10-01,392084.9
2018-11-01,393718.0
2018-12-01,395591.1
2019-03-01,412870.87
2019-04-01,418793.1
2019-05-01,421867.8
2019-06-01,429837.1
2019-07-01,428820.24
2019-08-01,428349.29
2019-09-01,433707.15
2019-10-01,445113.03
2019-11-01,451258.56
2019-12-01,459863.19
2020-03-01,477806.78
2020-04-01,481077.57
2020-05-01,493559.53
2020-06-01,505701.5
2020-07-01,534567.86
2020-08-01,542880.84
2020-09-01,544687.33
2020-10-01,560190.51
2020-11-01,574820.84
2020-12-01,585770.63
2021-03-01,576983.89
2021-04-01,588020.4
2021-05-01,598877.06
2021-06-01,611074.97
2021-07-01,620061.63
2021-08-01,640703.2
2021-09-01,635362.77
2021-10-01,640393.95
2021-11-01,637996.74
2021-12-01,633614.31
2022-03-01,607309.13
2022-04-01,596673.03
2022-05-01,603203.08
2022-06-01,589154.57
2022-07-01,574251.62
2022-08-01,560377.59
2022-09-01,532663.72
2022-10-01,534022.04
2022-11-01,553169.65
2022-12-01,562720.56
2023-03-01,578449.15
2023-04-01,590097.26
2023-05-01,590716.5
2023-06-01,595051.38
2023-07-01,605810.44
2023-08-01,598241.01
2023-09-01,587713.8
2023-10-01,588461.42
2023-11-01,604171.69
2023-12-01,622452.29
2024-03-01,646418.85
2024-04-01,640200.68
2024-05-01,651509.98
2024-06-01,651997.26
2024-07-01,670615.08
2024-08-01,682230.75
2024-09-01,705782.26
2024-10-01,682129.96
2024-11-01,659432.86
2024-12-01,635701.43
2025-01-01,630607.39
2025-02-01,638698.41
2025-03-01,668326.22
2025-04-01,688428.34
2025-05-01,691308.97
2025-06-01,698117.77
