year_type,year,frequency,indicator,state,gender,sector,AgeGroup,weekly_status,religion,socialGroup,General_Education,quarter,month,employee_contract,value,unit
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,8.7,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,6.0,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,1.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,2.7,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,5.5,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,5.7,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,10.3,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,19.8,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,17.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,14.6,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,11.4,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,4.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,6.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,other backward class,all,all,,all,5.9,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,others,all,all,,all,6.7,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Hinduism,all,all,all,,all,5.8,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Islam,all,all,all,,all,7.2,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Christianity,all,all,all,,all,8.4,%
Agriculture Year,2017-18,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Sikhism,all,all,all,,all,6.8,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,8.7,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,5.8,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,1.1,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,2.4,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,4.8,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,5.5,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,9.2,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,17.2,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,16.9,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,14.4,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,11.0,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,4.3,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,6.4,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,other backward class,all,all,,all,5.7,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,others,all,all,,all,5.8,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Hinduism,all,all,all,,all,5.6,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Islam,all,all,all,,all,6.6,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Christianity,all,all,all,,all,7.2,%
Agriculture Year,2018-19,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Sikhism,all,all,all,,all,7.2,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,8.8,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,4.8,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,0.6,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,1.4,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,3.4,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,4.1,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,7.9,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,14.2,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,17.2,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,12.9,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,10.1,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,3.4,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,4.9,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,other backward class,all,all,,all,4.7,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,others,all,all,,all,5.5,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Hinduism,all,all,all,,all,4.6,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Islam,all,all,all,,all,5.8,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Christianity,all,all,all,,all,7.1,%
Agriculture Year,2019-20,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Sikhism,all,all,all,,all,6.6,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,7.5,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,4.2,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,0.4,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,1.4,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,2.5,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,3.8,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,6.6,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,14.2,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,15.5,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,12.5,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,9.1,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,2.7,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,4.1,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,other backward class,all,all,,all,4.2,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,others,all,all,,all,5.0,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Hinduism,all,all,all,,all,4.1,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Islam,all,all,all,,all,4.6,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Christianity,all,all,all,,all,6.7,%
Agriculture Year,2020-21,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Sikhism,all,all,all,,all,5.2,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,6.6,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,4.1,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,0.4,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,1.0,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,2.6,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,3.4,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,6.3,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,13.0,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,14.9,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,11.4,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,8.6,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,2.3,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,4.4,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,other backward class,all,all,,all,3.9,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,others,all,all,,all,4.9,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Hinduism,all,all,all,,all,3.9,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Islam,all,all,all,,all,4.4,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Christianity,all,all,all,,all,5.8,%
Agriculture Year,2021-22,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Sikhism,all,all,all,,all,6.2,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,5.1,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,3.2,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,0.2,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,0.5,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,1.7,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,2.2,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,4.6,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,12.2,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,13.4,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,12.1,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,7.3,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,1.8,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,3.2,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,other backward class,all,all,,all,3.3,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,others,all,all,,all,3.4,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Hinduism,all,all,all,,all,3.2,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Islam,all,all,all,,all,2.4,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Christianity,all,all,all,,all,4.5,%
Agriculture Year,2022-23,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Sikhism,all,all,all,,all,5.2,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,CWS,all,all,all,all,,all,4.9,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,all,all,,all,3.2,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,1.not literate,all,,all,0.2,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,2.literate & upto primary,all,,all,0.6,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,3.middle,all,,all,1.6,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,4.secondary,all,,all,1.9,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,5.higher secondary,all,,all,4.4,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,6.diploma/ certificate course,all,,all,8.6,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,7.graduate,all,,all,13.0,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,8.post graduate & above,all,,all,12.4,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,all,9.secondary & above,all,,all,7.1,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled tribe,all,all,,all,1.9,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,scheduled caste,all,all,,all,3.3,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,other backward class,all,all,,all,3.1,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,all,others,all,all,,all,3.8,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Hinduism,all,all,all,,all,3.1,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Islam,all,all,all,,all,3.2,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Christianity,all,all,all,,all,4.7,%
Agriculture Year,2023-24,Annually,"UR (Unemployment Rate, in per cent)",All India,person,rural + urban,15 years and above,PS+SS,Sikhism,all,all,all,,all,5.8,%
